English1,M1,Physics,CP,EVS,Mechanics,English2,M2,PEM,Engg.Drawing,MEFA,CPP,DS,MFCS,DLD,Prob_Stat,Java,ADS,CO,FLAT,CD,Data_communication,PPL,DBMS,OS,Placed_Status
76,83,59,74,67,64,79,74,60,73,80,80,71,96,87,89,87,64,99,65,80,62,77,85,41,1
64,41,22,44,60,19,48,49,42,27,34,28,33,30,44,31,30,33,31,22,22,42,23,38,76,0
82,91,75,80,76,96,70,100,79,74,58,86,80,80,75,95,72,90,66,71,89,64,80,62,69,1
80,66,55,74,67,32,73,75,54,70,89,72,63,97,92,90,73,82,81,67,84,83,70,95,14,1
80,49,76,67,90,56,83,46,83,63,68,68,54,64,61,51,62,52,76,61,71,51,62,68,70,0
71,70,25,61,65,73,70,75,52,74,49,53,63,65,67,86,61,72,63,65,69,58,67,75,88,1
88,73,62,71,87,49,72,72,79,65,77,91,67,95,98,83,76,87,74,64,87,72,84,97,37,1
59,16,20,22,67,19,43,41,53,29,41,30,45,50,61,40,30,49,47,48,39,47,40,39,26,0
53,40,19,47,58,24,47,55,59,20,40,44,41,44,29,41,41,46,37,34,30,27,33,51,46,0
72,67,56,71,68,65,67,85,68,88,53,62,80,70,57,62,55,66,63,76,23,44,46,48,77,0
84,74,64,77,97,63,84,81,75,79,73,91,74,90,97,98,73,92,94,58,90,68,91,97,60,1
75,82,66,96,78,88,76,71,64,80,67,82,73,80,72,71,61,60,87,62,71,78,88,75,23,1
73,20,18,62,44,21,46,25,39,33,32,45,44,49,23,45,42,46,42,31,45,44,51,59,69,0
68,81,45,77,68,77,59,98,70,78,66,63,94,65,75,89,68,78,67,64,69,63,63,74,74,1
77,77,64,84,92,61,79,65,79,60,77,91,71,97,94,100,58,89,82,66,90,71,76,81,61,1
72,83,67,91,77,70,69,66,54,54,63,81,71,70,66,72,76,66,65,62,61,64,72,65,54,0
69,55,75,68,72,34,64,72,72,76,61,81,77,95,76,80,64,54,84,70,74,67,61,77,47,0
56,19,10,29,48,24,46,40,29,21,14,9,31,43,35,28,34,41,34,40,14,40,47,53,42,0
51,58,11,50,76,28,59,69,50,52,66,52,62,68,70,79,29,57,58,49,61,63,65,54,71,0
75,65,55,81,78,68,77,53,67,57,78,76,70,76,64,83,78,72,81,66,77,82,79,93,53,0
59,40,50,49,59,44,54,48,50,64,47,55,48,31,40,66,50,48,58,33,65,64,67,59,67,0
66,90,50,66,66,80,76,98,57,86,62,82,96,76,78,81,62,76,66,77,56,56,64,57,70,1
78,87,46,80,90,90,84,74,70,69,85,84,69,80,94,96,85,89,75,59,89,67,84,77,64,1
67,79,49,86,72,56,65,48,50,45,58,67,68,70,63,61,74,56,67,56,50,68,86,67,61,1
84,64,78,83,93,91,80,88,78,84,68,91,82,96,88,79,70,63,99,81,79,73,79,86,69,1
72,48,59,57,71,71,79,82,78,78,78,67,81,69,68,86,66,75,69,88,68,69,64,81,62,1
85,75,62,76,90,69,81,75,68,62,73,83,66,78,86,97,62,74,87,59,63,55,68,64,63,1
85,72,51,69,80,57,76,63,62,50,69,81,77,85,68,96,74,66,86,65,69,85,80,85,64,1
59,63,53,55,67,56,60,78,66,70,59,74,60,61,64,75,66,65,85,65,69,66,62,84,70,0
67,54,40,71,73,80,72,83,64,82,69,77,74,57,62,74,61,63,59,82,47,63,83,70,45,0
63,42,20,53,83,29,79,53,62,60,65,65,61,77,46,73,50,67,70,52,68,66,56,46,-1,0
71,52,72,54,81,62,49,57,72,95,50,93,68,58,67,61,56,48,91,61,64,52,72,66,44,1
59,21,12,50,49,43,65,42,50,20,44,24,45,49,42,48,45,34,36,36,22,53,36,47,53,0
59,48,53,48,86,28,66,50,60,50,68,84,64,59,81,73,51,72,73,55,88,76,67,64,46,1
61,58,29,25,61,48,67,46,46,52,49,77,62,59,42,96,49,49,64,49,29,68,62,65,53,0
81,52,78,81,88,72,72,74,75,68,73,78,62,69,74,74,61,54,98,84,80,72,79,72,58,1
71,56,54,57,64,88,76,83,67,60,47,44,66,61,54,68,54,54,64,67,54,60,54,62,48,0
53,53,64,66,84,55,77,50,57,74,60,76,62,57,61,75,57,81,67,49,72,71,61,41,69,0
86,60,64,58,79,65,78,54,58,67,73,84,79,91,86,88,58,79,86,60,73,82,79,74,44,1
54,14,21,46,27,13,40,25,37,18,42,17,33,46,31,36,31,34,32,35,51,57,60,57,75,0
